City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Unguia,CO,8.0434,-77.0945,73.9,90,30,2.93,scattered clouds
287,Vilhena,BR,-12.7406,-60.1458,69.37,97,99,3.74,overcast clouds
288,Norman Wells,CA,65.282,-126.8329,-5.58,97,100,4.16,overcast clouds
289,Vanderhoof,CA,54.0166,-124.0198,9.21,98,95,2.55,overcast clouds
290,Vao,NC,-22.6667,167.4833,79.57,78,0,10.13,clear sky
291,Luderitz,NA,-26.6481,15.1594,61.02,90,0,10.11,clear sky
292,Asau,RO,46.4333,26.4,38.32,85,100,5.21,overcast clouds
293,Mangrol,IN,21.1167,70.1167,67.71,41,1,10.8,clear sky
294,Manjacaze,MZ,-24.7117,33.8828,69.98,91,4,3.29,clear sky
295,Sicuani,PE,-14.2694,-71.2261,47.57,77,94,1.72,light rain
296,Hovd,MN,48.0056,91.6419,1.71,80,100,1.68,overcast clouds
297,Yichang,CN,30.7144,111.2847,53.28,52,47,0.74,scattered clouds
298,Virginia Beach,US,36.8529,-75.978,47.01,71,75,5.75,broken clouds
299,Narsaq,GL,60.9167,-46.05,21.42,70,0,7.67,clear sky
300,Uglovskoye,RU,51.3557,80.1942,-7.76,95,10,8.34,clear sky
301,Saucillo,MX,28.0167,-105.2833,70.38,21,82,6.13,broken clouds
302,Linxia,CN,35.6003,103.2064,24.19,54,60,1.43,broken clouds
303,Rio Gallegos,AR,-51.6226,-69.2181,50.13,50,87,16.67,overcast clouds
304,Casimiro De Abreu,BR,-22.4806,-42.2042,69.51,98,11,2.55,few clouds
305,Putatan,MY,5.9258,116.0609,82.42,78,20,2.3,few clouds
306,Tilichiki,RU,60.4667,166.1,12.2,82,100,7.63,overcast clouds
307,Ponta Delgada,PT,37.7333,-25.6667,65.5,94,75,25.32,moderate rain
308,Bjerkvik,NO,68.5597,17.5189,19.22,84,4,10.56,clear sky
309,Dauphin,CA,51.1494,-100.0502,14.5,91,100,4.76,overcast clouds
310,Flinders,AU,-34.5833,150.8552,66.25,55,15,8.9,few clouds
311,Oum Hadjer,TD,13.2954,19.6966,68.65,15,2,9.44,clear sky
312,Touros,BR,-5.1989,-35.4608,78.48,80,12,10.78,few clouds
313,Sibenik,HR,43.7272,15.9058,60.46,85,100,5.99,light rain
314,Okhotsk,RU,59.3833,143.3,-21.57,83,14,10.96,few clouds
315,Suleja,NG,9.1758,7.1808,72.52,20,1,6.22,clear sky
316,Krasnoselkup,RU,65.7,82.4667,-6.65,97,99,10.11,overcast clouds
317,Westport,US,41.1415,-73.3579,38.75,57,0,12.66,clear sky
318,Talara,PE,-4.5772,-81.2719,66.76,86,61,11.81,broken clouds
319,Severo-Kurilsk,RU,50.6789,156.125,27.91,67,99,18.25,overcast clouds
320,Kavaratti,IN,10.5669,72.642,81.23,67,97,14.9,overcast clouds
321,Nichinan,JP,31.6,131.3667,62.15,67,35,9.69,scattered clouds
322,Marawi,PH,7.9986,124.2928,78.06,72,93,6.78,overcast clouds
323,Lockport,US,41.5895,-88.0578,37.96,96,100,10.36,mist
